"N° de production","N° de « Classique Disney","N° de « Classique d'animation »","Titre (en France)","Date de sortie","Commentaires"
1,1,1,"Blanche-Neige et les Sept Nains","21 décembre 1937","D'après le conte des frères Grimm"
2,2,2,"Pinocchio","7 février 1940","D'après le roman de Carlo Collodi"
3,3,3,"Fantasia","13 novembre 1940","Animation sur des musiques de compositeurs tels que Jean-Sébastien Bach, Piotr Ilitch Tchaïkovski, Paul Dukas et Igor Stravinsky"
4,,,"Le Dragon récalcitrant","20 juin 1941","Documentaire mêlant animation et prises de vues réelles sur le thème d'une visite des studios"
5,4,4,"Dumbo","23 octobre 1941","D'après le roman de Helen Aberson"
6,5,5,"Bambi","8 août 1942","D'après le roman de Felix Salten"
7,6,6,"Saludos Amigos","24 août 1942","Animation et prises de vues réelles pour inciter les pays d'Amérique du Sud à combattre au côté des États-Unis lors de la Seconde Guerre mondiale"
8,,,"Victoire dans les airs","17 juillet 1943","Film d'animation destiné à soutenir l'effort de guerre"
9,7,7,"Les Trois Caballeros","21 décembre 1944","Animation et prises de vues réelles mettant en vedette Donald Duck pour inciter les pays d'Amérique du Sud à combattre aux côtés des États-Unis lors de la Seconde Guerre mondiale"
10,8,8,"La Boîte à musique","20 avril 1946","Animation regroupant des courts métrages musicaux comme Fantasia (1940)"
11,9,,"Mélodie du Sud","12 novembre 1946","Animation et prises de vues réelles d'après les romans de Joel Chandler Harris"
12,10,9,"Coquin de printemps","27 septembre 1947","Animation et prises de vues réelles - Premier long-métrage mettant en vedette le trio formé par Mickey Mouse, Donald Duck et Dingo"
13,11,10,"Mélodie Cocktail","27 mai 1948","Animation regroupant des courts métrages musicaux comme Fantasia (1940) et La Boîte à musique (1946)"
14,12,,"Danny, le petit mouton noir","9 janvier 1949","Animation et prises de vues réelles comme Mélodie du Sud (1946) d'après un roman de Sterling North"
15,13,11,"Le Crapaud et le Maître d'école","5 octobre 1949","D'après la nouvelle de Washington Irving pour Ichabod (Le Maître d'école) et le roman de Kenneth Grahame pour Mr Toad (Le Crapaud)"
16,14,12,"Cendrillon","15 février 1950","D'après Charles Perrault et les frères Grimm"
17,15,13,"Alice au pays des merveilles","26 juillet 1951","D'après les romans de Lewis Carroll"
18,16,14,"Peter Pan","5 février 1953","D'après la pièce de théâtre de J. M. Barrie"
